n, x0, x1, x2, s, d, y, c, rx0, rx1, rx2, truey at xrecc, taq, tev, trc, realtime
45, 0.93829700757, -1.99997459737, -0.837804196515, 1e-09, [nan], 47.2897138195, 1.0, nan, nan, nan, nan,1.10969400406, 0.123161077499, 8.39233398438e-05, 16:30:00  04-07-16
46, 0.579103795153, -1.99997459737, -1.26461921455, 1e-09, [nan], 1.61419497692, 1.0, nan, nan, nan, nan,1.15379500389, 0.128326892853, 0.000113964080811, 16:30:02  04-07-16
47, -0.672534674592, -1.9999237921, -0.360996799268, 1e-09, [nan], 4.68696609152, 1.0, nan, nan, nan, nan,1.194231987, 0.12155008316, 8.79764556885e-05, 16:30:03  04-07-16
48, 0.208276177412, -1.99997459737, 0.999974597368, 1e-09, [nan], 53.9696590442, 1.0, -0.00205761316872, -1.99794238683, -0.66049382716, 2.91504117625,1.25788211823, 0.124437093735, 1.1202249527, 16:30:06  04-07-16
49, 0.0625666819082, -1.9999237921, -0.754534369761, 1e-09, [nan], 2.72902008308, 1.0, nan, nan, nan, nan,1.32546401024, 0.122958898544, 9.01222229004e-05, 16:30:08  04-07-16
50, 0.246227709191, 0.109053497942, -1.14197530864, 1e-09, [nan], 2.59143666515, 1.0, nan, nan, nan, nan,1.43896007538, 0.122035980225, 8.29696655273e-05, 16:30:09  04-07-16
51, 0.222450845908, -0.907407407407, -1.57270233196, 1e-09, [nan], 2.21477449954, 1.0, nan, nan, nan, nan,1.42493081093, 0.121457099915, 8.20159912109e-05, 16:30:11  04-07-16
52, 0.265584514556, -1.9999237921, -1.67131534827, 1e-09, [nan], 2.17247887894, 1.0, 0.27366255144, -1.06378600823, -1.12962962963, 1.99300900823,1.37720394135, 0.124298095703, 1.10473203659, 16:30:14  04-07-16
53, 0.252629172382, -1.00480109739, -0.96959304984, 1e-09, [nan], 2.03795093041, 1.0, nan, nan, nan, nan,1.4667429924, 0.12219786644, 8.79764556885e-05, 16:30:15  04-07-16
54, 0.000685871056241, -0.931336686481, 0.163923182442, 1e-09, [nan], 1.78290545422, 1.0, nan, nan, nan, nan,1.42628788948, 0.12068104744, 8.70227813721e-05, 16:30:17  04-07-16
55, -0.607673288286, -1.99999153246, -0.118249250622, 1e-09, [nan], 3.34521801444, 1.0, nan, nan, nan, nan,1.53985786438, 0.121562004089, 8.51154327393e-05, 16:30:19  04-07-16
56, 0.534293552812, -0.620256058528, -1.22245084591, 1e-09, [nan], 1.66278555335, 1.0, 0.417695473251, -1.10905349794, -1.15432098765, 1.69584147262,1.54199504852, 0.126760005951, 1.33971810341, 16:30:22  04-07-16
57, -1.60355806195, -1.99999153246, 0.102381073346, 1e-09, [nan], 2.7896608508, 1.0, nan, nan, nan, nan,1.63807106018, 0.119900941849, 8.51154327393e-05, 16:30:24  04-07-16
58, 0.0811106030585, -1.99997459737, -0.265889346136, 1e-09, [nan], 2.26461752023, 1.0, nan, nan, nan, nan,1.68512701988, 0.125667095184, 8.79764556885e-05, 16:30:26  04-07-16
59, 0.29545800945, -0.829675354367, -1.28768480415, 1e-09, [nan], 2.00383510259, 1.0, nan, nan, nan, nan,1.63441586494, 0.127810955048, 8.60691070557e-05, 16:30:28  04-07-16
60, 0.223771782757, 0.999974597368, -1.43847482599, 1e-09, [nan], 11.1245662051, 1.0, 0.479423868313, -1.32716049383, -1.13374485597, 1.61383517758,1.77236390114, 0.12416100502, 1.43744397163, 16:30:31  04-07-16
61, 0.494563836813, -1.35627190977, -1.13039170858, 1e-09, [nan], 1.60072757911, 1.0, nan, nan, nan, nan,1.78044891357, 0.122649908066, 8.9168548584e-05, 16:30:33  04-07-16
62, 0.0453436976071, -1.19547325103, -0.475918305136, 1e-09, [nan], 2.39805877885, 1.0, nan, nan, nan, nan,2.15063405037, 0.140295982361, 0.000117063522339, 16:30:36  04-07-16
63, -1.99999968639, 0.999999686387, -0.900584448697, 1e-09, [nan], 10.9074234014, 1.0, nan, nan, nan, nan,2.35294508934, 0.122879981995, 8.79764556885e-05, 16:30:38  04-07-16
64, -1.99997459737, -0.614108621653, 0.108088197937, 1e-09, [nan], 2.96483076877, 1.0, 0.335390946502, -1.99794238683, -1.01851851852, 1.93793050691,1.90490698814, 0.126255989075, 1.52373504639, 16:30:42  04-07-16
65, 0.294458839269, -1.99999717749, -0.999997177485, 1e-09, [nan], 2.0382659774, 1.0, nan, nan, nan, nan,1.91262507439, 0.125593900681, 8.29696655273e-05, 16:30:44  04-07-16
66, 0.232611898593, -1.99997459737, -1.45615505766, 1e-09, [nan], 2.26800827178, 1.0, nan, nan, nan, nan,1.94983005524, 0.122004032135, 8.70227813721e-05, 16:30:46  04-07-16
67, 0.160214398212, 0.999974597368, -0.828456028045, 1e-09, [nan], 11.0205887102, 1.0, nan, nan, nan, nan,1.98450398445, 0.125917196274, 8.79764556885e-05, 16:30:49  04-07-16
68, 0.0602804450541, -1.99999153246, -0.501761249132, 1e-09, [nan], 2.55194900663, 1.0, -0.0555555555556, -1.37242798354, -0.00205761316872, 2.02333135217,1.92261099815, 0.123906850815, 1.65058517456, 16:30:53  04-07-16
69, -0.359320225575, -1.99997459737, -1.08370167149, 1e-09, [nan], 5.55346204475, 1.0, nan, nan, nan, nan,1.96431303024, 0.126587867737, 8.51154327393e-05, 16:30:55  04-07-16
70, -0.940771412066, 0.999999686387, -1.09480356239, 1e-09, [nan], 10.819808854, 1.0, nan, nan, nan, nan,2.14327502251, 0.123551130295, 8.98838043213e-05, 16:30:57  04-07-16
71, -0.908536413261, -1.99999717749, 0.0688608895437, 1e-09, [nan], 2.78269360394, 1.0, nan, nan, nan, nan,2.15907001495, 0.126764059067, 8.29696655273e-05, 16:31:00  04-07-16
72, -0.100823045267, -0.855281207133, -1.2727480567, 1e-09, [nan], 3.86745057518, 1.0, 0.586419753086, -1.99794238683, -1.170781893, 1.61337475825,2.14425802231, 0.121685028076, 1.77732992172, 16:31:04  04-07-16
73, -1.84090331758, -1.99997459737, 0.266600619824, 1e-09, [nan], 2.1743899407, 1.0, nan, nan, nan, nan,2.12057995796, 0.122325897217, 8.79764556885e-05, 16:31:06  04-07-16
74, -1.99999717749, -1.99999153246, -0.141247099866, 1e-09, [nan], 4.26650806205, 1.0, nan, nan, nan, nan,2.29320812225, 0.121850013733, 8.48770141602e-05, 16:31:09  04-07-16
75, -0.0176040237769, -1.40169181527, -0.0843621399177, 1e-09, [nan], 2.08611074756, 1.0, nan, nan, nan, nan,2.41292500496, 0.123725175858, 8.79764556885e-05, 16:31:11  04-07-16
76, 0.133287608596, -1.08344764518, -1.90877914952, 1e-09, [nan], 2.50759676089, 1.0, 0.582304526749, -1.99794238683, -1.16666666667, 1.61352038761,2.4293961525, 0.126754045486, 1.99412298203, 16:31:16  04-07-16
77, -1.79829463666, -1.99999153246, 0.561389693306, 1e-09, [nan], 1.6206706551, 1.0, nan, nan, nan, nan,2.44048213959, 0.124604940414, 8.70227813721e-05, 16:31:19  04-07-16
