n, x0, x1, s, xa, d, y, c, rx0, rx1, truey at xrecc, taq, tev, trc, realtime
68, 0.337448559671, -0.765432098765, 1e-12, 0.504115226337, [nan], -3.23732800714, 0.685171285774, 0.387339328354, -0.735558603871, -2.62486483452,27.5106589794, 0.000134944915771, 11.0233311653, 18:06:22  19-07-16
69, 0.518518518519, -0.609053497942, 1e-12, 0.446502057613, [nan], -2.77264712419, 0.715426405148, 0.38683127572, -0.735965045979, -2.62478185323,29.1703510284, 0.000133037567139, 10.6511600018, 18:07:02  19-07-16
70, 0.41975308642, -0.740740740741, 1e-12, 0.491769547325, [nan], -3.21900460806, 0.691544926405, 0.387440938881, -0.735863435452, -2.6249038046,27.7189090252, 0.000133991241455, 10.862473011, 18:07:40  19-07-16
71, 0.38683127572, -0.971193415638, 1e-12, 0.442386831276, [nan], -2.73559208079, 0.717637922417, 0.388558654677, -0.735863435452, -2.6251033054,28.2165310383, 0.000135898590088, 11.0319230556, 18:08:20  19-07-16
72, 0.518518518519, -0.77366255144, 1e-12, 0.109053497942, [nan], -2.68624606705, 0.921465332362, 0.387847380989, -0.735863435452, -2.62498167964,28.8787198067, 0.000136137008667, 10.736839056, 18:08:59  19-07-16
73, 0.337448559671, -0.666666666667, 1e-12, 0.479423868313, [nan], -3.09404590961, 0.697977856291, 0.387136107301, -0.735965045979, -2.62484730371,28.6615860462, 0.000128984451294, 11.2391970158, 18:09:39  19-07-16
74, 0.518518518519, -0.674897119342, 1e-12, 0.553497942387, [nan], -2.67100740511, 0.660258762246, 0.386628054666, -0.736168267032, -2.62474809058,29.3010671139, 0.000144004821777, 12.9002439976, 18:10:21  19-07-16
75, 0.551440329218, -0.831275720165, 1e-12, 0.442386831276, [nan], -2.71129067765, 0.717637922417, 0.387542549408, -0.736168267032, -2.62494088295,29.7994749546, 0.000169038772583, 11.2926650047, 18:11:03  19-07-16
76, 0.477366255144, -0.699588477366, 1e-12, 0.0473251028807, [nan], -2.67306898869, 0.965128691796, 0.385713559925, -0.738606919677, -2.62462575206,29.1545510292, 0.000136852264404, 11.3899419308, 18:11:43  19-07-16
77, 0.551440329218, -0.674897119342, 1e-12, 0.331275720165, [nan], -2.84444125317, 0.780003563965, 0.387237717828, -0.737997256516, -2.62495329782,29.745663166, 0.000179052352905, 11.6578729153, 18:12:25  19-07-16
78, 0.362139917695, -0.77366255144, 1e-12, 0.331275720165, [nan], -3.52598570728, 0.780003563965, 0.38652644414, -0.738200477569, -2.62480832402,30.5934169292, 0.000172138214111, 11.7335259914, 18:13:07  19-07-16
79, 0.444444444444, -0.962962962963, 1e-12, 0.438271604938, [nan], -2.66689490021, 0.7198562759, 0.387034496774, -0.737692424935, -2.62490463398,30.3776578903, 0.000134229660034, 11.9117538929, 18:13:49  19-07-16
80, 0.543209876543, -0.567901234568, 1e-12, 0.331275720165, [nan], -2.68731452696, 0.780003563965, 0.387644159935, -0.737692424935, -2.62502121738,31.8430318832, 0.000144958496094, 11.573595047, 18:14:33  19-07-16
81, 0.38683127572, -0.650205761317, 1e-12, 0.331275720165, [nan], -3.29123978361, 0.780003563965, 0.386932886247, -0.737997256516, -2.62489250325,30.7431759834, 0.000133037567139, 12.0877230167, 18:15:15  19-07-16
82, 0.551440329218, -0.77366255144, 1e-12, 0.331275720165, [nan], -2.8567690289, 0.780003563965, 0.385815170452, -0.737997256516, -2.6246323344,31.5399129391, 0.000133991241455, 12.1805949211, 18:15:59  19-07-16
83, 0.485596707819, -0.559670781893, 1e-12, 0.331275720165, [nan], -2.88437904597, 0.780003563965, 0.386424833613, -0.737997256516, -2.6247800327,32.2219090462, 0.000144004821777, 12.3792290688, 18:16:44  19-07-16
84, 0.502057613169, -0.650205761317, 1e-12, 0.294238683128, [nan], -3.03551748492, 0.801974062753, 0.387237717828, -0.737692424935, -2.62494297273,32.584843874, 0.000142097473145, 12.4118080139, 18:17:29  19-07-16
85, 0.337448559671, -0.77366255144, 1e-12, 0.224279835391, [nan], -3.36309748652, 0.845176433361, 0.38683127572, -0.738403698623, -2.62487812956,32.7205531597, 0.000144004821777, 12.628592968, 18:18:14  19-07-16
86, 0.41975308642, -0.880658436214, 1e-12, 0.442386831276, [nan], -3.14689744973, 0.717637922417, 0.385815170452, -0.738911751257, -2.62465729816,33.7421782017, 0.000133991241455, 12.8134038448, 18:19:01  19-07-16
87, -0.888888888889, 0.995884773663, 1e-12, 0.183127572016, [nan], -0.708444468447, 0.871668856417, 0.388050602042, -0.738200477569, -2.62510386198,33.4920010567, 0.000164031982422, 15.0052349567, 18:19:49  19-07-16
88, 0.469135802469, -0.732510288066, 1e-12, 0.248971193416, [nan], -3.21716458685, 0.829669047997, 0.388660265203, -0.737895645989, -2.62519129003,33.8063981533, 0.000138998031616, 13.0385420322, 18:20:36  19-07-16
89, 0.362139917695, -0.559670781893, 1e-12, 0.257201646091, [nan], -2.97736860036, 0.824563408479, 0.388253823096, -0.738302088096, -2.62513709939,33.3029761314, 0.000134944915771, 13.1281750202, 18:21:22  19-07-16
90, 0.378600823045, -0.716049382716, 1e-12, 0.257201646091, [nan], -3.39942401074, 0.824563408479, 0.387440938881, -0.738302088096, -2.62499919594,34.5982019901, 0.00014591217041, 13.2703421116, 18:22:10  19-07-16
91, 0.518518518519, -0.584362139918, 1e-12, 0.133744855967, [nan], -2.6570628163, 0.904558190321, 0.389879591526, -0.738098867043, -2.62533779105,35.4665870667, 0.000166893005371, 13.496338129, 18:22:59  19-07-16
92, 0.452674897119, -0.658436213992, 1e-12, 0.236625514403, [nan], -3.17193564055, 0.83738684421, 0.38876187573, -0.738606919677, -2.62521445382,35.699696064, 0.000165939331055, 13.5434310436, 18:23:48  19-07-16
93, 0.337448559671, -0.732510288066, 1e-12, 0.022633744856, [nan], -2.65661546782, 0.983167960087, 0.393842402073, -0.738098867043, -2.62541074684,37.5320260525, 0.000135183334351, 13.7773559093, 18:24:40  19-07-16
94, 0.222222222222, -0.855967078189, 1e-12, 0.442386831276, [nan], -2.80298318706, 0.717637922417, 0.393842402073, -0.738098867043, -2.6254115792,36.3131048679, 0.000134944915771, 13.883231163, 18:25:30  19-07-16
95, 0.222222222222, -0.707818930041, 1e-12, 0.438271604938, [nan], -2.73160906719, 0.7198562759, 0.393842402073, -0.737895645989, -2.62541208922,36.5302791595, 0.000133991241455, 13.9123668671, 18:26:20  19-07-16
96, 0.320987654321, -0.518518518519, 1e-12, 0.343621399177, [nan], -2.72872243296, 0.772814642149, 0.393740791546, -0.738606919677, -2.62540821286,36.7328000069, 0.000149965286255, 13.6252629757, 18:27:11  19-07-16
97, 0.222222222222, -0.82304526749, 1e-12, 0.224279835391, [nan], -2.74899805296, 0.845176433361, 0.393232738912, -0.738098867043, -2.62543802753,36.2529630661, 0.000153064727783, 14.3613610268, 18:28:01  19-07-16
98, 0.255144032922, -0.847736625514, 1e-12, 0.553497942387, [nan], -2.77157591882, 0.660258762246, 0.393232738912, -0.737895645989, -2.62543854667,37.7954931259, 0.000201940536499, 14.4681410789, 18:28:54  19-07-16
99, 0.230452674897, -0.658436213992, 1e-12, 0.368312757202, [nan], -2.7063622736, 0.758634958479, 0.393232738912, -0.737997256516, -2.62543768513,37.6316430569, 0.000135898590088, 14.6028010845, 18:29:46  19-07-16
100, 0.296296296296, -0.962962962963, 1e-12, 0.442386831276, [nan], -2.72487076719, 0.717637922417, 0.393232738912, -0.737895645989, -2.62543878038,38.2686150074, 0.000146150588989, 14.8144378662, 18:30:39  19-07-16
