n, x0, x1, x2, s, xa, d, y, c, rx0, rx1, rx2, truey at xrecc, taq, tev, trc, realtime
41, -0.296296296296, -0.987654320988, -0.567901234568, 1e-06, 0.154320987654, [nan], 12.7852543539, 0.880492, 0.216735253772, -0.0658436213992, 0.998628257888, 50.9613496183,10.8822629452, 0.801914215088, 1.021504879, 12:48:03  06-07-16
42, 0.0, -0.543209876543, -0.79012345679, 1e-06, 0.141975308642, [nan], 7.4240889947, 0.902698, 0.203017832647, -0.148148148148, 0.998628257888, 50.6674157736,13.2708449364, 0.82423210144, 1.39949989319, 12:48:20  06-07-16
43, 0.123456790123, -0.987654320988, -0.37037037037, 1e-06, 0.216049382716, [nan], 5.12064358361, 0.871794, 0.211248285322, -0.164609053498, 0.998628257888, 50.6770330943,11.5187139511, 0.793173074722, 1.22772789001, 12:48:34  06-07-16
44, 0.0740740740741, 0.987654320988, -0.172839506173, 1e-06, 0.907407407407, [nan], 10.7127622626, 0.875284, 0.213991769547, -0.150891632373, 0.998628257888, 50.7596629007,12.6728320122, 0.796709060669, 1.36518979073, 12:48:50  06-07-16
45, 0.0740740740741, -0.395061728395, -0.666666666667, 1e-06, 0.141975308642, [nan], 6.31196531837, 0.845778, 0.211248285322, -0.197530864198, 0.998628257888, 50.6218705463,9.78443288803, 0.767163991928, 0.913357973099, 12:49:02  06-07-16
46, -0.0987654320988, 0.987654320988, -0.740740740741, 1e-06, 0.154320987654, [nan], 10.886572006, 0.879915, 0.219478737997, -0.189300411523, 0.998628257888, 50.6683986318,8.85969591141, 0.801319122314, 0.969506978989, 12:49:13  06-07-16
47, -0.0246913580247, 0.987654320988, -0.641975308642, 1e-06, 0.12962962963, [nan], 10.8746319875, 0.892804999999, 0.224965706447, -0.189300411523, 0.998628257888, 50.6936538433,11.2893359661, 0.814183950424, 1.32484698296, 12:49:28  06-07-16
48, -0.0987654320988, -0.962962962963, -0.987654320988, 1e-06, 0.265432098765, [nan], 9.78037339928, 0.842907, 0.224965706447, -0.189300411523, 0.998628257888, 50.7017659521,11.3525531292, 0.764300823212, 0.989144086838, 12:49:41  06-07-16
49, 0.0246913580247, 0.37037037037, -0.41975308642, 1e-06, 0.141975308642, [nan], 26.8706748171, 0.883217000001, 0.186556927298, -0.255144032922, 0.998628257888, 50.4181537739,10.8873848915, 0.804944038391, 1.19405412674, 12:49:55  06-07-16
50, -0.987654320988, 0.962962962963, -0.987654320988, 1e-06, 0.265432098765, [nan], 11.5099091431, 0.849631, 0.186556927298, -0.255144032922, 0.998628257888, 50.4290356684,9.79307293892, 0.770994901657, 1.08739709854, 12:50:08  06-07-16
51, -0.172839506173, 0.987654320988, -0.716049382716, 1e-06, 0.166666666667, [nan], 10.9633022688, 0.876311, 0.186556927298, -0.255144032922, 0.998628257888, 50.4190810202,10.5333518982, 0.797888994217, 1.60973215103, 12:50:21  06-07-16
52, -0.246913580247, 0.987654320988, -0.37037037037, 1e-06, 0.12962962963, [nan], 10.9110163615, 0.868718, 0.186556927298, -0.246913580247, 0.998628257888, 50.431368124,9.94577407837, 0.79008603096, 1.11671686172, 12:50:34  06-07-16
53, -0.444444444444, 0.987654320988, -0.567901234568, 1e-06, 0.154320987654, [nan], 11.0673416039, 0.866087, 0.194787379973, -0.230452674897, 0.998628257888, 50.4947296329,9.40367603302, 0.787514925003, 1.23031210899, 12:50:46  06-07-16
54, -0.320987654321, 0.987654320988, -0.987654320988, 1e-06, 0.277777777778, [nan], 11.0634982092, 0.912388, 0.197530864198, -0.235939643347, 0.998628257888, 50.5095185693,11.9191939831, 0.833771944046, 2.0244820118, 12:51:02  06-07-16
55, 0.148148148148, 0.987654320988, -0.83950617284, 1e-06, 0.141975308642, [nan], 10.7604368476, 0.90177, 0.197530864198, -0.227709190672, 0.998628257888, 50.5127964939,11.9615781307, 0.823143959045, 1.85992598534, 12:51:17  06-07-16
56, -0.987654320988, 0.987654320988, -0.987654320988, 1e-06, 0.796296296296, [nan], 11.1681738408, 0.863353000001, 0.197530864198, -0.227709190672, 0.998628257888, 50.5659776126,12.9849660397, 0.7847468853, 1.28124809265, 12:51:33  06-07-16
57, 0.123456790123, 0.987654320988, -0.79012345679, 1e-06, 0.240740740741, [nan], 10.7463688683, 0.863670000001, 0.197530864198, -0.227709190672, 0.998628257888, 50.5213483124,12.1858549118, 0.7850689888, 1.33070111275, 12:51:48  06-07-16
58, -0.271604938272, 0.987654320988, -0.345679012346, 1e-06, 0.166666666667, [nan], 10.9181069207, 0.875432000001, 0.203017832647, -0.222222222222, 0.998628257888, 50.5452952607,12.1362400055, 0.79678606987, 2.3565659523, 12:52:05  06-07-16
