n, x0, x1, x2, x3, x4, x5, xa,y, c, rx0, rx1, rx2, rx3, rx4, rx5, truey at xrecc, taq, tev, trc, realtime
14,0.14488710484,0.325674709211,0.676755710741,0.046837725731,0.245478949448,-0.739358963545,0.451544993496,-0.367042511417,625.348862188,-0.21248940301663066,0.701475943657071,0.5886065364089104,-0.552304496164794,-0.987323715182949,-0.9417368863234301,-0.92914213256,0.0018920000000002268,0.0009009999999998186,3.399999999986747e-05,02:08:26  24-02-17
15,0.530628997443,0.840157239359,-0.649897405744,0.4825940182,0.0693763506588,0.179426718298,0.602066940262,0.282637813989,386.029209654,-0.21248940301663066,0.701475943657071,0.5886065364089104,-0.552304496164794,-0.987323715182949,-0.9417368863234301,-0.92914213256,0.0018640000000003099,0.0009130000000001637,3.899999999967818e-05,02:08:26  24-02-17
16,-0.616848932689,-0.369165933795,0.75527375863,0.769803127515,0.264151786362,-0.639650432966,0.526809441346,0.245496554495,496.167632063,-0.21248940301663066,0.701475943657071,0.5886065364089104,-0.552304496164794,-0.987323715182949,-0.9417368863234301,-0.92914213256,0.0018699999999998163,0.0008949999999998681,3.500000000000725e-05,02:08:26  24-02-17
17,0.359396419107,0.366296475513,-0.924423525518,0.24648546809,-0.439186513664,0.412756368524,0.451544993496,0.107675734821,625.348862188,-0.21248940301663066,0.701475943657071,0.5886065364089104,-0.552304496164794,-0.987323715182949,-0.9417368863234301,-0.92914213256,0.0019010000000001526,0.0008999999999996788,3.300000000017178e-05,02:08:26  24-02-17
18,0.472362613316,-0.741101584134,0.881151306736,0.911196793072,-0.141749611006,-0.477796069886,0.602066940262,0.299428041606,386.029209654,-0.21248940301663066,0.701475943657071,0.5886065364089104,-0.552304496164794,-0.987323715182949,-0.9417368863234301,-0.92914213256,0.0018850000000001366,0.0009060000000000734,3.399999999986747e-05,02:08:26  24-02-17
19,0.931831626393,-0.0471485222013,-0.48441348523,-0.739909964407,0.907605882141,-0.391862021628,0.526809441346,0.261691175663,496.167632063,-0.046537621297566445,-0.07143220037595888,-0.03698623177361171,-0.33125031753289635,0.18361022201900123,-0.8277193517248387,-0.426989306194,0.0018770000000003506,0.0009109999999998841,3.399999999986747e-05,02:08:26  24-02-17
20,-0.617283950617,0.0493827160494,0.197530864198,-0.962962962963,0.296296296296,-0.296296296296,0.00617284348866,-0.440127051212,1779.32326059,-0.6172839506172839,0.04938271604938249,0.19753086419753085,-0.9629629629629629,0.2962962962962963,-0.2962962962962963,-0.441723443747,4839.58483,0.005729999999857682,24.829647999999963,02:08:26  24-02-17
21,-0.518518518519,0.222222222222,-0.592592592593,-0.222222222222,0.0740740740741,0.0,0.00617284348866,-0.46390554696,1779.32326059,-0.5185185185185185,0.22222222222222232,-0.5925925925925926,-0.2222222222222222,0.07407407407407396,0.0,-0.460208684309,5413.782112999999,0.004904000001261011,27.88876900000014,02:08:26  24-02-17
22,-0.666666666667,-0.296296296296,-0.148148148148,-0.222222222222,0.222222222222,0.888888888889,0.0185185094131,-0.394497895657,1738.35393949,-0.5185185185185185,0.22222222222222232,-0.5925925925925926,-0.2222222222222222,0.07407407407407396,0.0,-0.460208684309,5572.885678000001,0.008190999998987536,29.141116999999213,02:08:26  24-02-17
23,0.592592592593,-0.222222222222,0.0,0.0,0.296296296296,0.716049382716,0.0185185094131,-0.0672364922634,1738.35393949,-0.5185185185185185,0.22222222222222232,-0.5925925925925926,-0.2222222222222222,0.07407407407407396,0.0,-0.460208684309,6786.8649920000025,0.017239999997400446,28.701302999999825,02:08:26  24-02-17
24,-0.320987654321,-0.0987654320988,0.0493827160494,-0.345679012346,-0.765432098765,0.0,0.00617284348866,-1.02456212786,1779.32326059,-0.3333502684211418,-0.09876543209876543,0.04938271604938249,-0.345679012345679,-0.7654320987654321,0.0,-1.04138658747,6340.1336660000015,0.08644699999786098,23.531403000000864,02:08:26  24-02-17
25,-0.518518518519,0.0740740740741,-0.888888888889,0.740740740741,0.691358024691,-0.296296296296,0.00617284348866,-0.0716646396469,1779.32326059,-0.32098765432098764,-0.09876543209876543,0.04938271604938249,-0.33331639824552484,-0.7654320987654321,0.0,-1.02887785306,6205.216563999995,0.06625300000450807,25.119603000002826,02:08:26  24-02-17
26,-0.148148148148,-0.0246913580247,-0.296296296296,-0.518518518519,0.666666666667,0.0,0.0185185094131,-0.138790259155,1738.35393949,-0.3333502684211418,-0.09876543209876543,0.04938271604938249,-0.345679012345679,-0.7654320987654321,0.0,-1.04138658747,6155.573855999995,0.013308000001416076,28.692597000001115,02:08:26  24-02-17
27,0.0,0.444444444444,-0.148148148148,0.740740740741,-0.592592592593,-0.444444444444,0.0185185094131,-0.39695697255,1738.35393949,-0.3333502684211418,-0.09876543209876543,0.049619807278700634,-0.33331639824552484,-0.7654320987654321,0.0,-1.03541805168,6462.752033000004,0.0019910000046365894,24.958199999993667,02:08:26  24-02-17
28,0.123456790123,-0.0740740740741,0.666666666667,-0.246913580247,0.0987654320988,-0.666666666667,0.0185185094131,-0.306557652555,1738.35393949,-0.3333502684211418,-0.09876543209876543,0.050026249386102783,-0.33331639824552484,-0.7654320987654321,0.0,-1.03536190047,5861.100891999995,0.040834999999788124,28.62337600000319,02:08:26  24-02-17
29,-0.444444444444,-0.37037037037,0.296296296296,0.518518518519,0.148148148148,0.222222222222,0.981113259652,0.229854592142,120.599271054,-0.3333502684211418,-0.09876543209876543,0.04945045640061618,-0.345679012345679,-0.7654659689410489,0.0,-1.04127734426,5173.790777000002,0.011255999997956678,31.851183999999193,02:08:26  24-02-17
30,0.888888888889,0.814814814815,0.37037037037,-0.296296296296,0.296296296296,0.222222222222,0.5,0.210163887598,540.0,-0.33338413859675864,0.2180561906213485,0.04938271604938249,-0.345679012345679,-0.7777947128655862,0.0,-0.696648830413,5556.526049,0.09333599999808939,29.94133700000384,02:08:26  24-02-17
31,-0.666666666667,0.814814814815,0.37037037037,0.296296296296,0.296296296296,0.666666666667,0.5,0.172271925809,540.0,-0.3333502684211418,-0.09866382157191489,0.04938271604938249,-0.345679012345679,-0.7777947128655862,0.0,-1.00494742574,4959.151995,0.10539900000730995,30.188309999997728,02:08:26  24-02-17
32,0.0,-0.666666666667,0.222222222222,0.666666666667,0.666666666667,-0.666666666667,0.944320882213,0.46750116045,125.208275785,-0.3333502684211418,-0.09873156192314858,0.04938271604938249,-0.345679012345679,-0.7777947128655862,0.0,-1.00501219714,5693.497656999985,0.0037869999941904098,29.42130500001076,02:08:26  24-02-17
33,-0.0740740740741,-0.888888888889,-0.0740740740741,0.296296296296,0.666666666667,0.0740740740741,0.993673533684,0.403478557237,120.067240616,-0.3333502684211418,-0.09869769174753174,0.04938271604938249,-0.345679012345679,-0.7777947128655862,0.0,-1.00497981173,5550.456286000001,0.11772300000302494,32.37624399999913,02:08:26  24-02-17
34,-0.888888888889,0.37037037037,0.444444444444,-0.888888888889,-0.888888888889,0.666666666667,0.944320882213,0.0132082007057,125.208275785,-0.3333502684211418,-0.09869769174753174,0.04938271604938249,-0.345679012345679,-0.7777947128655862,0.0,-1.00497981173,5325.282868999988,0.03827500001352746,29.95473500000662,02:08:26  24-02-17
35,-0.962962962963,-0.592592592593,0.740740740741,-0.740740740741,-0.888888888889,0.666666666667,0.981113259652,0.418540960438,120.599271054,-0.3333502684211418,-0.09849447069383055,0.04948432657623303,-0.345679012345679,-0.7777947128655862,0.0,-1.00477240023,5951.947848999989,0.08205699999234639,27.75320800000918,02:08:26  24-02-17
